SG_filter
27.28
13.54014
71.58694358
131.2318853173
175.6304155344
214.397338074
258.3546908302
305.0677304256
353.3589150641
399.7117522933
471.3103961191
562.3617864831
642.7879665304
729.3408960187
809.1709949231
901.8680639691
1003.4857141896
1097.5559513712
1202.5978829686
1293.6229161323
1347.637860931
1431.1467829758
1530.1521094365
1595.1552893336
1661.6571877322
1740.6583210761
1849.6589976824
1935.1594016164
1996.159642765
2101.6597867307
2163.1598726782
2222.6599239889
2410.6599546214
2446.659972909
2522.1599838267
2685.1599903445
2763.1599942357
2819.1599965587
2914.6599979455
2968.6599987735
3020.6599992678
3110.1599995629
3200.659999739
3230.1599998442
3440.159999907
3476.6599999445
3504.1599999669
3632.1599999802
3808.1599999882
3959.659999993
3968.6599999958
4046.1599999975
4080.6599999985
4136.6599999991
4243.6599999995
4298.6599999997
4357.1599999998
4564.6599999999
4808.1599999999
4877.16
4888.66
4951.16
4992.66
5222.16
5258.16
5295.66
5334.16
5491.16
5541.66
5687.16
5689.16
5728.66
5790.16
5876.66
5945.66
6176.16
6152.66
6147.16
6728.16
6672.16
6649.66
6635.16
6643.66
6632.16
6670.66
6737.16
6764.16
6751.66
6865.16
6862.16
7095.66
7105.66
7104.16
7451.66
7488.66
7550.66
7539.16
7734.66
7712.16
7727.16
7709.66
7655.16
7614.66
7925.66
7868.66
7814.16
7950.16
8072.66
8310.66
8324.66
8310.66
8945.66
8812.66
8680.16
8609.66
8644.66
8612.66
8606.66
8999.16
8886.66
9893.16
9635.66
9488.16
9364.66
9248.16
9176.16
9161.66
9142.16
9081.16
9016.66
9070.66
9208.16
9181.66
9143.66
9101.16
9096.16

